Symbol,Open,High,Low,Close,Beta,52Low,52High,Market Cap,Volume,Shares,Sector,Industry
O,61.155,62.18,60.53,60.97,0.8487,55.5,75.11,"41,685 M","3,254,871","673,206,775",,
ODFL,318.16,320.7,311.7058,320.67,1.043,231.31,381.81,"34,331 M","771,527","109,950,195",,
OTIS,86.04,86.19,85.08,85.54,0.7821,62.49,87.33,"35,254 M","1,857,842","413,291,336",,
PCAR,71.465,71.61,69.96,71.63,0.9194,51.33333333,76.715,"37,114 M","2,395,263","522,579,036",,
PEAK,21.2,21.495,20.939,21.28,0.9175,20.21,31.08,"11,695 M","4,204,177","546,995,686",,
PEP,193.08,193.95,192.155,192.18,0.5407,154.8576,192.5,"266,418 M","4,267,611","1,377,693,115",,
PH,337.93,337.93,322.19,323.22,1.483,230.44,364.57,"41,339 M","1,467,910","128,266,030",,
PKG,133.87,134.46,132.13,133.65,0.903,110.555,163.45,"11,965 M","657,027","89,932,185",,
PLD,124.13,125.0499,122.43,124.16,1.006,98.03,144.77,"115,322 M","2,740,427","923,466,000",,
PNR,57.5,58.21,56.86,57.66,1.139,38.55,60.85,"9,422 M","1,513,692","164,950,305",,
PSA,283.49,291.95,282.42,282.31,0.4446,270.13,357.125,"51,038 M","1,162,960","175,812,057",,
PYPL,71.77,73.05,71.755,71.43,1.289,66.385,103.03,"80,629 M","10,230,510","1,122,806,008",,
REG,59.48,60.435,59.14,59.66,1.193,51.97,72.81,"10,296 M","796,228","171,307,934",,
SBAC,241.09,243.26,236.84,240.92,0.508,236.2,356.5925,"25,814 M","1,218,868","108,326,000",,
SEDG,299.9,304,278.735,263.82,1.425,190.15,375.9,"15,845 M","2,729,060","56,343,163",,
SEE,41.88,42.385,41.15,42.06,1.268,41.24,66.06,"6,037 M","1,839,547","144,385,193",,
SNA,262.67,262.67,258.12,262.37,1.104,190.08,263.86,"13,692 M","254,051","52,931,821",,
SPG,107.4,108.2,105.82,107.59,1.701,86.02,133.08,"35,267 M","1,621,260","326,996,470",,
SWK,88.25,88.88,84.63,86.54,1.374,70.24,127.31,"13,190 M","2,673,548","153,055,232",,
SYY,75.41,76,74.72,75.32,1.113,70.61,90.735,"38,280 M","2,756,954","506,682,318",,
TER,92,92.135,89.73,92.16,1.511,67.81,113.72,"14,015 M","1,311,479","155,755,670",,
TGT,154.18,154.5,150.87,154.57,0.9859,137.16,229.66,"70,401 M","2,653,616","461,552,843",,
TSCO,243.14,244.19,235.99,243.31,0.7856,166.49,250.8899,"25,948 M","853,697","109,568,348",,
UAL,44.35,44.65,42.595,44.48,1.54,31.58,55.0401,"14,076 M","8,970,921","327,968,872",,
UDR,40.11,40.6,39.83,40.19,0.7502,37.18,50.65,"13,252 M","1,543,109","329,172,797",,
ULTA,523.21,524.26,511.19,523.17,1.327,330.7991,553.06,"25,746 M","584,890","50,088,578",,
UNP,195.41,197.395,194.0316,195.33,1.093,183.69,242.355,"120,147 M","1,866,347","609,695,454",,
V,224.84,226.055,223.48,225.98,0.9516,174.6,250.58,"472,496 M","5,648,862","2,094,396,184",,
VICI,32,32.7,31.8284,32.12,1.02,26.4194,35.69,"32,537 M","3,834,677","1,004,238,490",,
VTR,47.57,48.13,46.81,47.59,1.348,35.33,58.24,"19,111 M","1,532,691","400,053,497",,
WAB,97.75,98.16,96.345,97.73,1.524,78.26,107.86,"17,523 M","1,354,055","179,869,569",,
WBA,31.96,32.2,31.3818,31.96,0.7289,30.39,45.295,"27,221 M","7,069,809","862,795,720",,
WELL,77.7,78.21,75.93,77.52,1.129,56.5,90.69,"38,222 M","2,234,074","497,031,161",,
WMT,150.55,150.99,149.49,150.62,0.4736,117.27,159.88,"405,870 M","4,670,446","2,697,346,823",,
WRK,29.31,29.89,28.14,28.9,1.248,26.84,54.15,"7,217 M","6,861,149","254,651,783",,
WY,29.1,29.415,28.805,29.28,1.536,27.365,40.46,"21,244 M","3,873,678","732,296,000",,
XYL,104.67,107.9,104.105,104.15,1.075,72.08,118.58,"19,205 M","2,583,636","180,617,802",,
