JNJ,162.68,162.9,161.25,162.87,0.5311,150.11,183.3506,"5,127,992",Health Care,
HUM,530.27,530.7,523.64,529.79,0.6901,410.87,571.3,"549,307",Health Care,
GEHC,79.62,80.26,77.69,79.71,1.028,53,87.83,"1,751,465",Health Care,
DXCM,116.5,117.87,116.03,117.32,1.053,66.8925,125.55,"1,765,812",Health Care,
CVS,69.61,70.1682,68.1038,70.08,0.6042,71.65,107.26,"10,416,410",Health Care,
BMY,66.45,67.2431,66.4,66.64,0.4353,65.275,81.435,"8,801,885",Health Care,
BIIB,311.42,314.37,309.585,311,0.2134,187.16,311.89,"1,214,059",Health Care,
AMGN,230.31,232.025,229.15,229.31,0.6211,223.3,296.67,"2,228,478",Health Care,
ABT,111.45,111.49,110.56,111.76,0.6431,93.25,118.23,"4,070,791",Health Care,
ABBV,149,149,146.35,149.25,0.5376,134.09,168.11,"5,694,328",Health Care,
UPS,174.55,174.9406,172.86,175.83,1.084,154.8718,209.39,"3,495,232",Industrials,
NOC,443.28,445.275,435.2,443.71,0.5023,430.935,556.27,"645,682",Industrials,
MMM,102.55,102.98,100.76,102.83,0.9534,100.1575,154.04,"2,963,164",Industrials,
LMT,453.66,454.04,446.21,453.07,0.6648,373.67,508.1,"962,887",Industrials,
GE,101.49,101.75,97.41,101.77,1.283,46.76580111,102.0298,"7,226,963",Industrials,
UNP,195.41,197.395,194.0316,195.33,1.093,183.69,242.355,"1,866,347",Industrials,
UAL,44.35,44.65,42.595,44.48,1.54,31.58,55.0401,"8,970,921",Industrials,
LUV,30.63,30.7355,29.27,30.79,1.186,28.965,46.8,"8,760,203",Industrials,
DOV,144.57,144.75,141.15,144.4,1.352,114.49,160.66,"660,053",Industrials,
DAL,33.95,33.98,32.6823,34.13,1.328,27.2,42.45,"11,694,281",Industrials,
CSX,30.84,31.37,30.795,30.93,1.222,25.8,35.31,"12,353,086",Industrials,
CMI,223.95,224.578,218.93,224.45,0.9836,184.275,261.91,"875,414",Industrials,
CAT,216.05,216.93,209.33,215.64,1.072,160.6,266.04,"3,211,007",Industrials,
NVDA,276.51,278.59,272.4,278.02,1.809,108.13,288.3599,"32,185,041",Information Technology,
NOW,439.06,442.54,428.97,437.08,1.012,337,521.575,"1,658,810",Information Technology,
MSFT,306.24,307.7626,303.4,304.4,0.9193,213.431,309.18,"22,519,907",Information Technology,
INTC,30.435,31.72,30.38,30.65,0.8849,24.59,45.91,"46,104,019",Information Technology,
IBM,123.03,123.52,121.7563,123.45,0.8521,115.545,153.21,"4,468,237",Information Technology,
FTNT,61.285,61.61,60.37,60.49,1.15,42.6101,69.07,"5,939,259",Information Technology,
CRM,191.9,194.56,190.76,192.61,1.22,126.34,200.12,"4,386,506",Information Technology,
AVGO,610,613.96,601.29,613.2,1.121,415.0682,648.4999,"1,768,438",Information Technology,
AMD,81.57,91.64,81.11,81.62,1.941,54.57,109.57,"122,840,488",Information Technology,
ACN,273.28,273.78,265.68,275.18,1.24,242.8,322.88,"2,586,187",Information Technology,
AAPL,164.89,167.04,164.31,167.45,1.267,124.17,176.15,"81,235,427",Information Technology,
V,224.84,226.055,223.48,225.98,0.9516,174.6,250.58,"5,648,862",Information Technology,
PYPL,71.77,73.05,71.755,71.43,1.289,66.385,103.03,"10,230,510",Information Technology,
LRCX,515.06,515.65,507.19,514.55,1.498,299.592,548.85,"780,162",Information Technology,
MA,374.5,376.85,372.14,374.9,1.093,276.87,390,"2,814,954",Information Technology,
AMT,191.27,196.42,191.27,191.97,0.5779,178.17,282.47,"1,984,321",Real State,
PCG,17.37,17.43,16.835,17.29,1.111,9.64,17.335,"15,127,525",Utilities,
NRG,33.01,33.29,30.52,33.44,1.037,30.25,47.82,"11,045,715",Utilities,
AEP,,,,,,,,,Utilities,
AWK,,,,,,,,,Utilities,
ED,,,,,,,,,Utilities,
D,,,,,,,,,Utilities,
DUK,,,,,,,,,Utilities,
IRM,,,,,,,,,Real State,
PLD,,,,,,,,,Real State,
O,,,,,,,,,Real State,
SPG,,,,,,,,,Real State,
